case_history_id,project_type_family,project_type_label,proposed_action,intensity_direction,urban_form_orientation,proposal_language_tone,housing_units,summary,evidence,confidence,alternative_type
bza-20-24-2cf05e2c11,vehicle_oriented,used motor vehicle sales lot,expansion,adds_homes_or_activity,automobile_oriented,neutral,,The petitioner proposes to expand an existing used motor vehicle sales lot by adding adjacent land.,"['expand a legal nonconforming', 'Used Motor Vehicle Sales lot by adding land']",high,
bza-20-25-6131a2cc71,retail_or_personal_service,rental hall,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,The petitioner is appealing the denial of permission to establish a rental hall in an existing building.,"['establish a rental hall', 'existing 1,926 square foot building']",high,
bza-21-23-1b926e9998,parking_only,accessory parking lot,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,Proposal to construct a 22-space employee accessory parking lot on vacant land to serve a nearby business.,['construct a 22-space employee Accessory Parking Lot on existing vacant land'],high,
bza-21-24-b752b33f22,parking_only,accessory parking lot,change_of_use,adds_homes_or_activity,automobile_oriented,neutral,,The petitioner proposes to create an accessory parking lot to serve a nearby multi-tenant building.,['intensify the land use to provide an accessory parking lot'],high,retail_or_personal_service
bza-21-25-dcb8d4f773,institutional_or_civic,pre-release adjustment center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,The petitioner is appealing the denial of a site plan to change the use of a site to a pre-release adjustment center.,"['change of use/ occupancy', 'Pre-release adjustment center']",high,
bza-22-19-e564f573b6,vehicle_oriented,motor vehicle repair facility,expansion,adds_homes_or_activity,automobile_oriented,neutral,,Expand an existing minor motor vehicle repair facility.,"['expansion of an existing Minor Motor Vehicle Repair Facility from 1,353 square feet to 3,937 square feet']",high,
bza-22-21-a0cae37c6a,housing,townhouses,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,3.0,The petitioner requests dimensional variances to construct three attached townhouse units on vacant land.,['construct three attached Townhouse units on existing vacant land'],high,
bza-22-23-4eb0024be7,housing,accessory dwelling unit,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,1.0,Proposal to construct an accessory dwelling unit for an existing residential property.,['construct an Accessory Dwelling for a Residential unit'],high,
bza-22-24-5c0940c4c3,vehicle_oriented,gas station and car wash,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,The petitioner proposes to demolish an existing building and construct a new gas station and car wash.,"['demolish an existing building and construct a 6,716 sq. ft. Motor Vehicle Filling Station', 'Motor Vehicle Washing facility']",high,
bza-22-25-831f730788,housing,residential garage,new_construction,adds_homes_or_activity,automobile_oriented,neutral,0.0,The petitioner is requesting a dimensional variance to construct a new 2-car garage.,['construction of a new 689 square foot 2 car garage'],high,
bza-23-21-5de6ae3a94,unclear,unclear,unclear,unclear_or_not_applicable,unclear_or_not_applicable,neutral,,Appeal regarding the expiration of a previously approved Special Land Use permit in an intensive industrial district.,"['appeals BSEED’s decision to NOT consider an extension', 'department issued a Special Land Use approval decision']",low,industrial_or_logistics
bza-23-21-67b09caf30,mixed_use,mixed-use building with apartments and commercial space,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,38.0,The petitioner requests dimensional variances to construct a mixed-use building with 38 residential units and ground-floor commercial space.,"['establish a mixed use building, with 38 multi-family units and ground floor commercial', 'located within .50 miles of the bus rapid transit']",high,
bza-23-23-d43e4e845a,food_or_beverage,small distillery or winery,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Proposal to establish a small distillery or winery in an existing building.,"['establish a Small Distillery or Winery', 'in an existing 3,322 square foot building']",high,industrial_or_logistics
bza-23-24-52267c8cf9,housing,residential home addition,expansion,adds_homes_or_activity,mixed_or_neutral,neutral,,The petitioner proposes to build a second-floor addition to an existing residential home.,['Residential home with Second floor addition'],high,
bza-24-19-98cd3d897f,housing,apartment building,expansion,adds_homes_or_activity,mixed_or_neutral,neutral,10.0,Convert an existing single-family dwelling into a multiple-family dwelling with accessory parking.,"['convert an existing single-family dwelling into a six-unit Multiple Family Dwelling', 'petitioner is requesting 10 units']",medium,
bza-24-21-9280554649,vehicle_oriented,minor motor vehicle repair facility,change_of_use,adds_homes_or_activity,automobile_oriented,neutral,,"Establishment of a minor motor vehicle repair facility in an existing 7,092 square foot building.","['establishment of a Minor Motor Vehicle Repair Facility in an existing 7,092 sq. ft. bldg.']",high,
bza-24-23-39f2ee37b3,housing,townhouse development,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,7.0,Proposal to construct a seven-unit townhouse development on vacant land.,"['construct a seven-unit 15,640 square foot Townhouse development on existing vacant land']",high,
bza-24-24-ba03fb1f1d,institutional_or_civic,non-profit neighborhood center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,The petitioner proposes to establish a non-profit neighborhood center and requests a variance for deficient off-street parking.,"['proposed land use (Neighborhood Center Non-Profit)', 'off-street parking deficiency']",high,office_or_medical
bza-24-25-67f735277c,housing,carriage house,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,1.0,The petitioner is requesting dimensional variances to build a garage with living space.,['Garage and Living (carriage house)'],high,
bza-25-20-0c7c6c8bde,mixed_use,Mixed-use commercial complex,new_construction,adds_homes_or_activity,automobile_oriented,neutral,0.0,"Request for dimensional variances for a new three-building development featuring government, office, and retail uses with excessive height and landscaping deficiencies in large parking areas.","['proposed construction of three (3) buildings on one parcel', 'government service agency', 'office', 'retail', 'parking areas with 101 spaces or more']",high,office_or_medical
bza-25-21-6318646cda,vehicle_oriented,gas station,expansion,adds_homes_or_activity,automobile_oriented,neutral,,"The applicant is requesting to expand an existing nonconforming gas station by constructing a 2,705-square-foot addition.","['expand an existing nonconforming 2,280 square foot gas station', 'constructing an approximately 2,705 square foot addition']",high,
bza-25-23-d87a52a78b,vehicle_oriented,car wash,change_of_use,adds_homes_or_activity,automobile_oriented,neutral,,Request to establish a motor vehicle washing facility on the ground floor of an existing two-story building.,"['establish a motor vehicle washing facility', 'on the ground floor on an existing 2 story 2,004 square foot building']",high,
bza-25-24-e30fbc8699,institutional_or_civic,private club,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,"The petitioner proposes to establish a private club in an existing 4,420 square foot building.","['establish a Private Club in an existing 4,420 square foot building']",high,recreation_or_open_space
bza-26-17-06a09b7674,cannabis_or_controlled_use,medical marijuana caregiver center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,0.0,"Establish a medical marijuana caregiver center in an existing 2,900 square foot building.","['establish a Medical Marihuana Caregiver Center', 'existing 2,900 square foot building']",high,
bza-26-21-b04c2ad13b,parking_only,accessory parking lot,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,Establishment of an accessory parking lot on vacant land for a landscaping business.,['establishment of an accessory parking lot on an existing vacant land'],high,
bza-26-24-8498a9e0ce,housing,multi-family dwelling complex,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,100.0,The petitioner proposes to convert a former school building into a 100-unit multi-family residential complex.,"['convert a former school building site though adaptive reuse', '100-unit Multi-family Dwelling complex']",high,
bza-26-25-7703d8a4a4,vehicle_oriented,light duty vehicle service establishment,change_of_use,adds_homes_or_activity,automobile_oriented,neutral,,The petitioner is requesting locational variances for a light duty vehicle service establishment due to spacing requirements.,"['Light Duty Vehicle Service Establishment', 'existing 1,488 square foot']",high,
bza-27-18-c8ce2a7370,industrial_or_logistics,concrete crushing facility,unclear,unclear_or_not_applicable,industrial_or_freight_oriented,neutral,,Proposal for concrete crushing operations.,['Concrete crushing'],medium,
bza-27-19-79df09a810,cannabis_or_controlled_use,Medical Marihuana Grower Facility,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Establish a medical marihuana caregiver center or grower facility.,"['medical marihuana caregiver center', 'Medical Marihuna Growers Faculty']",high,
bza-27-21-a56d8905f7,mixed_use,mixed-use apartment and retail buildings,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,318.0,Construction of six new buildings containing 318 multi-family dwelling units and accessory retail on vacant land.,"['revised development of a total of 318 Multiple-family dwelling units', 'six buildings will include accessory retail sales and personal services', 'current legal land use of 1401 Rivard is “Vacant Land”']",high,housing
bza-27-23-9c40617de8,institutional_or_civic,child care center,unclear,adds_homes_or_activity,mixed_or_neutral,neutral,,Proposal to establish a licensed child care center.,['proposes a Child Care Center that shall be licensed'],high,retail_or_personal_service
bza-27-24-014e8967b0,parking_only,accessory parking lot,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,The petitioner proposes to develop a 54-space accessory parking lot on vacant land to serve a nearby church.,"['develop a 54-space Accessory Parking Lot on existing vacant land', 'serve a church']",high,religious
bza-27-25-b460cdbf7e,retail_or_personal_service,rental hall,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,The petitioner is requesting a dimensional variance for deficient parking to establish a rental hall in an existing building.,"['establish a rental hall', 'existing 5,396 square foot building', 'Deficient parking']",high,
bza-28-19-9c30f8d441,parking_only,surface parking lot,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,Construct a seven-space surface parking lot to serve an adjacent multiple-family dwelling.,"['construct a seven space surface parking lot', 'serve an adjacent multiple-family dwelling']",high,
bza-28-20-22cfec2a50,food_or_beverage,carry-out restaurant,expansion,adds_homes_or_activity,automobile_oriented,neutral,,"The applicant is requesting to expand an existing non-conforming carry-out restaurant and its parking lot, requiring dimensional variances for setbacks and lot coverage.","['expand a non-conforming carry out restaurant', 'building with the addition will cover approximately 47%']",high,
bza-28-21-05880fccc0,housing,single-family dwelling addition,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,1.0,Construction of a second single-family dwelling with an attached garage on a lot with an existing single-family home.,"['proposed addition of a 706 square foot, two-story, single family dwelling', 'constitutes a second principal use on the subject site']",high,
bza-28-23-32856cc88a,housing,residential porch enclosure,site_or_building_alteration,maintains_existing_activity,mixed_or_neutral,neutral,,Request to add an enclosure for a second-story porch on a lot with multiple existing principal dwellings.,"['add an enclosure for a 2nd story porch', 'multiple principal dwellings exist on the subject lot']",high,
bza-28-24-a82f3aaf57,vehicle_oriented,gas station,site_or_building_alteration,adds_homes_or_activity,automobile_oriented,neutral,,The petitioner proposes to renovate and re-establish a formerly closed gas station with three pump islands.,"['renovate and re-establish a formerly closed 1,430 square foot Motor Vehicle Filing Station']",high,
bza-28-25-d2fb7bb161,industrial_or_logistics,outdoor storage yard,change_of_use,adds_homes_or_activity,industrial_or_freight_oriented,neutral,,The petitioner is requesting a dimensional variance for the spacing of a proposed outdoor storage yard near residential zones.,"['spacing of proposed outdoor storage', 'Outdoor Storage yard']",high,
bza-29-19-be10fad016,vehicle_oriented,motor vehicle repair,expansion,adds_homes_or_activity,automobile_oriented,neutral,,"Expand a minor motor vehicle repair shop by adding a 3,480 square foot building.","['expand a non-conforming Minor Motor Vehicle Repair', 'adding a 3,480 square foot building']",high,
bza-29-20-787a86c963,office_or_medical,Office,change_of_use,maintains_existing_activity,mixed_or_neutral,neutral,0.0,Request to change a nonconforming dry cleaners to a nonconforming office within an existing building.,"['change from a nonconforming Dry Cleaners to a nonconforming Office', 'within an existing 4,028 square foot building']",high,
bza-29-21-cd232a5ef8,housing,townhouses,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,23.0,Construction of four townhouse buildings containing a total of 23 residential units on vacant land.,['Construct four separate townhouse buildings containing a total of twenty three units on existing vacant land'],high,
bza-29-23-1e6ae3ddb9,housing,senior apartment building,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,35.0,"Proposal to construct a four-story, 35-unit senior living apartment building with an accessory parking area and community room.","['construct a four-story, 32,111 square-foot building', 'establish a Multiple-Family dwelling (35 senior living units)']",high,
bza-29-24-6d70f0b779,institutional_or_civic,Neighborhood Center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,"Redeveloping a former school site into a non-profit neighborhood center, which includes demolishing a building and expanding the remaining structure.","['redevelop a former school site', 'demolishing an existing 10,500 square foot building', 'converting it into a Neighborhood Center Non Profit']",high,other
bza-29-25-7515a970f7,mixed_use,mixed-use building,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,69.0,"Construct a nine-story, 69-unit mixed-use building with ground-floor commercial space and associated parking.","['construct a nine-story, 69-unit mixed use building', '2,522 square feet of ground-level commercial', '14-space parking lot underneath']",high,
bza-3-20-ab5d59efc6,signage,advertising sign,signage_installation,unclear_or_not_applicable,automobile_oriented,neutral,,Proposal for an advertising sign.,['Advertising Sign'],high,
bza-3-21-cee9bd7f02,food_or_beverage,bakery with drive-through,site_or_building_alteration,adds_homes_or_activity,automobile_oriented,neutral,,The petitioner requests to re-establish an accessory drive-through for an existing bakery.,"['re-establish an accessory, Drive-Through', 'current legal use is “Bakery”']",high,vehicle_oriented
bza-3-22-cd12f2bbc2,cannabis_or_controlled_use,Marihuana Grower Facility,change_of_use,adds_homes_or_activity,industrial_or_freight_oriented,neutral,,"Establish a marijuana grower facility in an existing 7,953 square foot building.","['establish a Marihuana Grower Facility', 'in an existing 7,953 square foot building']",high,
bza-3-24-b561a47236,housing,garage with habitable attic,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,,Construct a three-car garage with a habitable attic and storage.,['construction of a one and one half story three bay three car garage with habitable attic'],high,
bza-3-25-36721a5eeb,housing,garage with living space,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,1.0,"The petitioner proposes an accessory structure (garage) with living space, which exceeds the maximum number of principal detached residential buildings allowed.","['Accessory Use Structure (garage) with living space', 'Exceeding the maximum number of principle detached residential buildings']",high,parking_only
bza-30-19-9c0b26b104,housing,apartment building,expansion,adds_homes_or_activity,mixed_or_neutral,neutral,12.0,Convert an existing seven-unit multiple-family dwelling into a twelve-unit dwelling with accessory parking.,"['convert an existing two-story, seven unit multiple-family dwelling into a twelve unit dwelling']",high,
bza-30-21-d888c96eb5,mixed_use,mixed-use building,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,16.0,Construction of a new 5-story mixed-use building with 16 residential units and ground-floor retail.,"['new, 5-story, mixed-use development consisting of 16 residential units and 3,600 square feet of ground level retail']",high,
bza-30-23-0932bf1f77,housing,apartment building,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,10.0,Request for dimensional variances for a proposed 10-unit multi-family development.,['10 unit proposed multi-family development'],high,
bza-30-24-94d9984635,industrial_or_logistics,Outdoor Storage Yard,change_of_use,adds_homes_or_activity,industrial_or_freight_oriented,neutral,,Establishing a proposed outdoor storage yard in an intensive industrial district.,"['proposed outdoor storage yard', ""within 150' of residential zone district""]",high,
bza-30-25-701e35d3e8,parking_only,accessory parking lot,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,Develop a 24-space accessory parking lot to serve nearby office buildings.,"['develop a 24 (twenty-four) space accessory parking lot', 'serve three Detroit-based businesses']",high,office_or_medical
bza-31-19-2cf7ef7116,office_or_medical,art studio and office space,change_of_use,maintains_existing_activity,mixed_or_neutral,neutral,,Change a former retail grocery to an art studio and technology start-up rental space.,"['change a non-conforming Retail Grocery Confectionary', 'to an Art Studio and Technology Start Up Rental Space']",high,retail_or_personal_service
bza-31-21-ace9be1d9d,mixed_use,office building and restaurant,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,,Construction of a new four-story office building and conversion of an existing one-story building into a restaurant.,"['develop office spaces in a newly constructed four story building', 'existing one story building will be a proposed restaurant without drive-up or drive through facilities']",high,office_or_medical
bza-31-22-0443674bdf,unclear,unknown,unclear,unclear_or_not_applicable,unclear_or_not_applicable,insufficient_text,,No proposal text is provided in the record.,['nan'],low,
bza-31-23-4dc13ed6eb,housing,apartment buildings,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,16.0,Proposal to construct two multi-family buildings containing a total of 16 residential units.,"['construction of two multi-family buildings', 'total of 16 multi-family units']",high,
bza-31-24-5f6ef1ba25,retail_or_personal_service,Banquet Hall,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,"Establishing a banquet hall in an existing 12,000 square foot building.","['establish a Banquet Hall in an existing 12,000 square foot building']",high,food_or_beverage
bza-32-21-04cdb9c55b,retail_or_personal_service,rental hall,change_of_use,maintains_existing_activity,mixed_or_neutral,neutral,,Changing a nonconforming auto repair facility into a nonconforming rental hall.,"['change from one nonconforming use (auto repair facility)', 'to another nonconforming use (rental hall)']",high,recreation_or_open_space
bza-32-23-5510e7b99d,housing,apartment building,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,10.0,Request for dimensional variances for a proposed 10-unit multi-family development.,['10 unit proposed multi-family development'],high,
bza-32-24-9d20f69e4b,food_or_beverage,Restaurant,unclear,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,,Seeking a parking variance for a proposed restaurant that will provide zero off-street parking spaces.,"['parking variance for a proposed restaurant', '0 parking spaces provided']",medium,retail_or_personal_service
bza-33-19-ccbe2c0b37,housing,residential garage,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,Construct an accessory garage with excessive height for a single-family home.,"['construct an accessory structure (garage)', 'with excessive height']",high,parking_only
bza-33-21-ebd11a8b91,cannabis_or_controlled_use,marijuana retail and provisioning center,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Establishment of a marijuana retail and provisioning center facility.,['establishment of a Marijuana retail/provisioning center facility'],high,retail_or_personal_service
bza-33-23-9df1fa2044,housing,apartment buildings,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,71.0,Proposal to construct two multi-family buildings containing a total of 71 residential units.,"['construction of two multi family buildings', 'total of 71 multi family units']",high,
bza-33-24-f8b434d5ad,housing,Single-Family Dwelling,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,1.0,Constructing a new three-story single-family home on a lot with deficient area and width.,['construct a new three-story single-family dwelling'],high,
bza-34-19-e402408898,signage,illuminated business sign,signage_installation,adds_homes_or_activity,mixed_or_neutral,neutral,,Erect an internally illuminated projecting sign for a pizza restaurant.,"[""erect an internally illuminated Sign (Grandma Bob's Pizza)"", 'projecting sign is 13 square feet']",high,
bza-34-20-ee36e5ccb2,office_or_medical,commercial office,change_of_use,maintains_existing_activity,mixed_or_neutral,neutral,,"Changing a nonconforming factory into a commercial office with accessory parking, requiring variances for screening and deficient parking.","['change from one nonconforming use to another', 'current nonconforming legal use is Factory', 'proposed nonconforming use is Commercial Office']",high,industrial_or_logistics
bza-34-21-04aac96c4f,housing,townhouses,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,3.0,Construction of three townhouse units on a vacant lot.,"['construct a total of three townhouse units on 6,804 of vacant land']",high,
bza-34-23-b9a318fe90,housing,apartment buildings,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,24.0,Proposal to develop two multi-family buildings containing a total of 24 residential units.,"['development of two buildings', '7A containing 14 multiple family units and 7B containing 10 multiple family units']",high,
bza-34-24-0550ac5afc,cannabis_or_controlled_use,Marijuana Grower Facility,change_of_use,adds_homes_or_activity,industrial_or_freight_oriented,neutral,,"Establishing a marijuana grower facility in an existing 5,950 square foot building.","['Establish a Marijuana Grower Facility (MGF) in an existing 5,950 square foot building']",high,industrial_or_logistics
bza-35-19-a7022fa187,retail_or_personal_service,Beauty salon,change_of_use,maintains_existing_activity,mixed_or_neutral,neutral,,Converting an existing non-conforming clinic into a non-conforming beauty salon.,['change a non-conforming Clinic to 1872 square foot non-conforming Beauty Salon'],high,office_or_medical
bza-35-23-80eeb47028,housing,multi-family development,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,10.0,Development of a 10-unit multi-family residential building.,['development of a 10 unit multi-family development'],high,
bza-35-24-7b8306b2c9,cannabis_or_controlled_use,Marijuana Grower Facility,change_of_use,adds_homes_or_activity,industrial_or_freight_oriented,neutral,,"Establishing a marijuana grower facility in an existing 8,677 square foot building with zero parking spaces provided.","['establish a Marijuana Grower Facility (MGF) in an existing 8,677 square foot building', '0 provided, 8 parking spaces deficient']",high,industrial_or_logistics
bza-36-19-2ede43fee8,unclear,Unknown (withdrawn),unclear,unclear_or_not_applicable,unclear_or_not_applicable,insufficient_text,,The application was withdrawn and dismissed before details were recorded.,['withdraw their application and have cases dismissed'],high,
bza-36-21-dce8b705cb,housing,townhomes,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,64.0,Dimensional variances requested to construct 64 new townhomes across 15 three-story buildings.,"['64 new-construction townhomes', 'fifteen, 3- story buildings consisting of attached townhouse units']",high,
bza-36-23-eb4390b021,housing,residential garage,new_construction,maintains_existing_activity,automobile_oriented,neutral,,Request for dimensional variances for a residential accessory garage with a deficient side setback.,"['accessory use (Garage)', 'deficient side setback']",medium,parking_only
bza-36-24-25e89f7eb8,cannabis_or_controlled_use,Marijuana Retail/Provisioning Facility,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Appealing the denial of a marijuana retail and provisioning facility due to its proximity to a drug-free zone and another controlled use.,"['Marijuana Retail/Provisioning Facility', 'within 750 radial feet of a Controlled Use', 'within 1000 radial feet of a Drug Free Zone']",high,retail_or_personal_service
bza-37-19-b5facb6e4c,signage,Wall sign,signage_installation,unclear_or_not_applicable,mixed_or_neutral,neutral,,Adding a large identification wall sign to an existing retail building.,"['ADD identification sign to the front wall of a building', 'proposed sign 680 square feet']",high,
bza-37-22-b17d680e46,housing,residential garage,new_construction,maintains_existing_activity,automobile_oriented,neutral,0.0,Construct a proposed garage in a two-family residential district.,['proposed garage in a R2 zone Two-Family Residential District'],high,
bza-37-23-9ef40df08c,cannabis_or_controlled_use,marijuana grower and processor facility,expansion,adds_homes_or_activity,industrial_or_freight_oriented,neutral,,"Expand a proposed marijuana grower and processor facility by adding 18,510 square feet in an existing industrial building.","['adding an 18,510 square foot Marijuana Grower Facility', 'existing 55,713 square foot building']",high,
bza-37-24-f961ca02ca,housing,home renovation,site_or_building_alteration,maintains_existing_activity,mixed_or_neutral,neutral,,Renovation of a back porch on an existing 100-year-old home.,['renovate existing 100 year old homes (back porch)'],high,
bza-38-19-f657c9531f,retail_or_personal_service,Retail paint supply store and auto repair,expansion,adds_homes_or_activity,automobile_oriented,neutral,,Expanding an existing auto repair facility to include a retail paint supply store and warehouse.,"['expand a Minor Motor Vehicle Repair Facility', 'add a Retail Paint Supply Store with accessory Warehouse']",high,vehicle_oriented
bza-38-20-ee1ac31af4,mixed_use,mixed-use senior housing and commercial,new_construction,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,36.0,"Development of a mixed-use project featuring 36 senior housing units and commercial space, requiring parking and loading variances.","['develop 36 units of senior housing, commercial space and parking', 'located within .50 mile of bus rapid transit', 'pedestrian oriented retail']",high,housing
bza-38-22-38ba18ce36,housing,residential garage or pole barn,new_construction,adds_homes_or_activity,automobile_oriented,neutral,0.0,Construct a pole barn or garage accessory to a single-family home.,"['construction of a pole barn/garage', 'within an R1 Single-Family Residential District']",high,
bza-38-23-2b956d227e,mixed_use,retail and restaurant,change_of_use,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,,Reestablish an abandoned retail space and convert a carry-out restaurant into a standard restaurant with on-site consumption.,"['reestablish the abandoned retail use', 'convert the abandoned Restaurant Carry-out use to nonconforming Restaurant, Standard']",high,
bza-38-24-5cdec3b56e,institutional_or_civic,emergency shelter,change_of_use,maintains_existing_activity,mixed_or_neutral,neutral,,Change of use from a nonconforming hotel to a nonconforming emergency shelter.,['change from one nonconforming use (Hotel) to another nonconforming use (Emergency Shelter)'],high,housing
bza-39-19-5ad28b381f,unclear,Unknown (withdrawn),unclear,unclear_or_not_applicable,unclear_or_not_applicable,insufficient_text,,The application was withdrawn and dismissed before details were recorded.,['withdraw their application and have cases dismissed'],high,
bza-39-23-9f515fc65e,food_or_beverage,restaurant,change_of_use,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,,Request to change an existing non-conforming motor vehicle repair garage into a standard restaurant and add a 40-square-foot addition.,"['change an existing non-conforming (Motor Vehicle Repair Garage) to a non-conforming (Standard Restaurant)', 'adding a 40 square foot addition']",high,retail_or_personal_service
bza-39-24-fc8328dfcb,other,Screen Wall,site_or_building_alteration,maintains_existing_activity,industrial_or_freight_oriented,neutral,,Constructing a 10-foot high screen wall that exceeds the maximum allowed height of 8 feet.,"['proposed wall that is excessive in height', '10’ HIGH PROPOSED']",high,
bza-4-19-9704261508,parking_only,Accessory Parking Lot,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,Establish an accessory parking lot to serve an existing banquet hall.,"['establish an Accessory Parking lot', 'to serve an existing Banquet Hall']",high,retail_or_personal_service
bza-4-20-e38716d808,vehicle_oriented,auto repair shop,change_of_use,adds_homes_or_activity,automobile_oriented,neutral,,Request for an extension of a previously approved special land use to establish an auto motor repair shop.,"['proposed Auto Motor Repair Shop', 'DENIED an extension']",high,
bza-4-21-25f351c9e7,vehicle_oriented,gas station,new_construction,adds_homes_or_activity,automobile_oriented,adverse,,"The petitioner appeals the denial to construct a motor vehicle filling station on a vacant lot, which was denied due to property maintenance violations and proximity to bus stops used by children.","['Construction of a 2,475 square foot building on a vacant 20,300 square foot site to accommodate a Motor Vehicle Filling Station', 'detrimental to or endanger the social, physical, environmental or economic well-being']",high,
bza-4-22-321d323913,unclear,unknown,unclear,unclear_or_not_applicable,unclear_or_not_applicable,insufficient_text,,"The case was dismissed due to lack of activity, with no project details provided.",['Lack of Activity'],low,
bza-4-23-9c77a16125,institutional_or_civic,adult foster care facility,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Establish an adult foster care facility for seven or more adults in a single-family residential district.,"['establish Adult Foster Care Facility', 'provides supervision, assistance, protection, or personal care to seven or more adults']",high,housing
bza-4-24-1781607356,housing,garage with living space,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,,Construct a garage with a small living space above it.,['Accessory Use Structure (garage with small living space above)'],high,
bza-4-25-34d6c95571,vehicle_oriented,light duty vehicle service establishment,change_of_use,adds_homes_or_activity,automobile_oriented,neutral,,"The petitioner proposes to establish a light-duty vehicle service establishment in an existing 4,645-square-foot building.","['Establish a light duty Vehicle Service establishment', 'in an existing 4,645 sq. ft. building']",high,retail_or_personal_service
bza-40-19-aae5d99948,retail_or_personal_service,Art gallery,change_of_use,adds_homes_or_activity,pedestrian_or_transit_supportive,neutral,0.0,Converting an existing single-family home into an art gallery.,"['convert an existing 2 1/2 story, 3,454 square foot single-family dwelling into an Art Gallery']",high,institutional_or_civic
bza-40-20-36fcdb76ae,food_or_beverage,restaurant,new_construction,adds_homes_or_activity,mixed_or_neutral,neutral,,The petitioner requests hardship relief to establish a restaurant across four lots in a residential district.,"['establish a restaurant on 3505 sq ft', 'Restaurants are not allowed R1']",high,change_of_use
bza-40-21-241d47ced9,parking_only,parking lot,new_construction,adds_homes_or_activity,automobile_oriented,neutral,,The applicant is requesting dimensional variances to construct an 8-space surface parking lot on a narrow residential lot.,"['construct an 8-space parking lot', ""constraints of the 35' wide lot""]",high,
bza-40-22-1bccc643ae,food_or_beverage,carryout restaurant with drive-thru,change_of_use,adds_homes_or_activity,automobile_oriented,neutral,0.0,Add a drive-thru lane and accessory parking lot to an existing carryout restaurant.,"['change from one non-conforming use', 'carry out restaurant to include drive-thru lane and accessory parking lot']",high,
bza-40-23-012c2b298a,cannabis_or_controlled_use,marijuana grower facility,change_of_use,adds_homes_or_activity,industrial_or_freight_oriented,neutral,,"Establish a marijuana grower facility in an existing 9,607 square foot building.","['establish a Marijuana Grower Facility', 'existing 9,607 square foot building']",high,
bza-40-24-8e2b4f04b1,food_or_beverage,Cigar Bar and Restaurant,change_of_use,adds_homes_or_activity,mixed_or_neutral,neutral,,Adding a retail cigar bar to the second floor of an existing standard restaurant.,['Add Retail (Cigar Bar) to the second floor of a Standard Restaurant'],high,retail_or_personal_service
